Latitude,Longitude,Mode,FIPS,Distance
42.49855338,-70.91951975,T,250092000000,25.07639751
42.47926121,-70.91537353,T,250092000000,23.70188792
42.46535331,-70.92456319,T,250092000000,22.32815316
42.76789646,-71.09328325,T,250093000000,45.78719261
42.6230415,-70.65527082,T,250092000000,56.54960607
42.56427787,-70.85600311,T,250092000000,34.74289731
42.70148483,-71.12221649,T,250093000000,37.80738871
42.61921968,-70.94752515,T,250092000000,34.16809032
42.68418386,-70.85078132,T,250092000000,45.12888299
42.51075019,-70.8908768,T,250092000000,28.33154727
42.50667359,-70.89346395,T,250092000000,27.52638206
42.75045035,-71.02947584,T,250093000000,43.26696095
42.55694975,-70.87569221,T,250092000000,32.82018272
42.65455873,-70.61487735,T,250092000000,63.12957438
42.34905064,-71.12256892,BIC,250214000000,3.236291232
42.33679768,-71.12182522,BIC,250214000000,3.847953651
42.35017406,-71.12552656,BIC,250214000000,3.66768259
42.33578662,-71.12681149,BIC,250214000000,4.244229803
41.75231124,-70.18936551,T,250010000000,121.7985359
41.65059889,-70.62269968,T,250010000000,95.00823351
42.33293562,-72.46899061,DRV,250158000000,154.5686929
42.75627472,-71.18110827,CARPOOL,250093000000,46.9129902
42.81249529,-70.86794289,CARPOOL,250093000000,56.00332417
42.48412203,-71.00774353,CARPOOL,250092000000,17.36189781
42.37099702,-71.07430078,SHT,250174000000,2.901091806
42.50963855,-71.29531002,SHT,250174000000,27.83129435
42.35461335,-71.1039365,SHT,250174000000,0.761364729
42.36160248,-71.10553995,SHT,250174000000,1.111084741
42.35680239,-71.09585839,SHT,250174000000,0.364101878
42.35636717,-71.0986252,SHT,250174000000,0.761364729
42.35781481,-71.09499189,SHT,250174000000,0.761364729
42.36077068,-71.10360544,SHT,250174000000,1.111084741
42.35863267,-71.10503564,SHT,250174000000,1.111084741
42.37252893,-71.09300849,SHT,250174000000,1.263809294
42.35904098,-71.10165309,SHT,250174000000,1.111084741
42.35467499,-71.10468216,SHT,250174000000,0.761364729
42.35502872,-71.09588549,SHT,250174000000,0.761364729
42.35911345,-71.09423477,SHT,250174000000,0.761364729
42.35262477,-71.10863964,SHT,250174000000,0.761364729
42.35642735,-71.08573662,SHT,250174000000,0.852588261
42.3582729,-71.09644855,SHT,250174000000,0.761364729
42.35400827,-71.10588986,SHT,250174000000,0.761364729
42.35309763,-71.10133936,SHT,250174000000,0.761364729
42.3607468,-71.10412337,SHT,250174000000,1.111084741
42.35994561,-71.0960296,SHT,250174000000,0.761364729
42.35852815,-71.09567393,SHT,250174000000,0.761364729
42.35256081,-71.10903865,SHT,250174000000,0.761364729
42.36139381,-71.10288665,SHT,250174000000,1.111084741
42.35589907,-71.10067347,SHT,250174000000,0.761364729
42.35789461,-71.10277071,SHT,250174000000,1.111084741
42.36086096,-71.10452088,SHT,250174000000,1.111084741
42.35715283,-71.09889561,SHT,250174000000,0.761364729
42.36128927,-71.1059278,SHT,250174000000,1.111084741
42.353606,-71.10708574,SHT,250174000000,0.761364729
42.4518064,-71.28753977,SHT,250174000000,23.57049834
42.35583008,-71.09946029,SHT,250174000000,0.761364729
41.86542943,-71.25691837,T,250056000000,58.56227964
41.96996282,-71.33732537,T,250056000000,50.77538112
41.95791591,-71.2010254,T,250056000000,46.04051482
41.91597013,-71.3200871,T,250056000000,55.96831111
42.02055415,-71.20575229,T,250056000000,40.06645511
42.03364539,-71.21277945,T,250056000000,38.87378347
42.40942968,-71.02193729,CARPOOL,250252000000,9.817783285
42.42376394,-71.01029829,CARPOOL,250252000000,11.91132724
42.30044661,-71.13200873,CARPOOL,250251000000,8.575616342
42.42063514,-71.01705202,CARPOOL,250252000000,11.01771987
42.42609173,-71.01961774,CARPOOL,250252000000,11.35178457
42.32445715,-71.08086477,CARPOOL,250251000000,4.243138082
42.3673676,-71.05784673,CARPOOL,250250000000,4.171664473
42.25021811,-71.13486888,CARPOOL,250251000000,12.82616749
42.34983534,-71.08763508,CARPOOL,250250000000,1.148172433
41.76906023,-71.14412193,CARPOOL,250056000000,66.32304064
42.34039484,-71.0796759,BIC,250251000000,2.577595372
42.35798815,-71.12742616,BIC,250250000000,3.717195275
42.34736773,-71.07663866,BIC,250250000000,2.187094154
42.35344509,-71.1385194,BIC,250250000000,5.475549827
42.31226352,-71.11655315,BIC,250251000000,5.931789293
42.27793652,-71.13554242,BIC,250251000000,9.537851131
42.35073511,-71.13641288,BIC,250250000000,4.96047301
42.3075037,-71.10165412,BIC,250251000000,5.581209082
42.312528,-71.10060116,BIC,250251000000,5.195358394
42.34760722,-71.10366634,BIC,250250000000,1.722912455
42.350159,-71.09755913,BIC,250250000000,0.994595435
42.34937056,-71.09642969,BIC,250250000000,0.994595435
42.3477293,-71.09418819,BIC,250250000000,1.197175184
42.34802608,-71.09330246,BIC,250250000000,1.197175184
42.35018881,-71.09668193,BIC,250250000000,0.994595435
42.3490693,-71.09070645,BIC,250250000000,1.215416895
42.35432895,-71.07733797,BIC,250250000000,2.012070213
42.33762853,-71.14965673,BIC,250250000000,6.405962909
42.31100157,-71.12076766,BIC,250251000000,5.931789293
42.3515367,-71.0830735,BIC,250250000000,1.649281077
42.35004885,-71.08149433,BIC,250250000000,1.649281077
42.35011243,-71.0809364,BIC,250250000000,1.649281077
42.34996572,-71.07994137,BIC,250250000000,1.606288254
42.35047373,-71.09778049,BIC,250250000000,1.180171305
42.34159305,-71.0816796,BIC,250251000000,2.356965349
42.35059435,-71.0965573,BIC,250250000000,0.994595435
42.34901054,-71.08160781,BIC,250250000000,1.606288254
42.34975291,-71.09385792,BIC,250250000000,0.994595435
42.34920978,-71.08187532,BIC,250250000000,1.606288254
42.33691769,-71.12193478,CARPOOL,250214000000,3.847953651
42.22604536,-70.94203968,CARPOOL,250214000000,22.4993642
42.32078978,-71.26886589,CARPOOL,250214000000,20.43859155
42.23529938,-70.94015158,CARPOOL,250214000000,21.80574881
42.22258907,-71.10187917,CARPOOL,250214000000,15.19841854
42.3300096,-71.12783141,CARPOOL,250214000000,4.81045759
42.17086301,-70.9477931,CARPOOL,250214000000,26.20251782
42.3432672,-71.1166082,CARPOOL,250214000000,2.867407868
42.46532245,-71.56392923,DRV,250278000000,54.19862433
42.22285944,-71.8236654,DRV,250277000000,83.62836353
42.3211523,-71.55602734,DRV,250277000000,50.87667952
42.18666272,-71.60004767,DRV,250277000000,61.09994225
42.25247838,-71.68446358,DRV,250277000000,66.41748255
42.54280503,-71.62886262,DRV,250278000000,61.05164356
42.65433722,-71.99089893,DRV,250277000000,108.7856596
42.61421204,-71.962246,DRV,250277000000,102.2444822
42.15706286,-71.74492899,DRV,250278000000,77.12354046
42.26466059,-71.8223326,DRV,250277000000,81.91437778
42.37069211,-71.65520727,DRV,250277000000,59.90627104
42.1371262,-71.97883041,DRV,250278000000,104.7397466
42.15963739,-71.52640657,DRV,250277000000,53.32785445
42.30437433,-71.51776859,DRV,250277000000,47.05086668
42.3714874,-71.09304171,BIC,250174000000,1.263809294
42.36427553,-71.10301885,BIC,250174000000,0.714711821
42.37272912,-71.1028266,BIC,250174000000,1.945152459
42.42021567,-71.19570473,BIC,250174000000,12.97892005
42.37050221,-71.10908889,BIC,250174000000,1.972831371
42.36300547,-71.07673806,BIC,250174000000,2.122896038
42.36855424,-71.08867671,BIC,250174000000,1.328618643
42.37161801,-71.11292527,BIC,250174000000,2.377879801
42.39414951,-71.16468314,BIC,250174000000,8.2434797
42.41852171,-71.10664726,BIC,250173000000,6.946880902
42.39270452,-71.13104521,BIC,250174000000,5.739783509
42.36986692,-71.0858725,BIC,250174000000,1.328618643
42.36908304,-71.08344788,BIC,250174000000,1.328618643
42.36545909,-71.10874975,BIC,250174000000,1.777105695
42.3870775,-71.1518286,BIC,250174000000,6.893070562
42.38863667,-71.10197036,BIC,250174000000,3.286159004
42.36974563,-71.08900064,BIC,250174000000,1.252834916
42.38637648,-71.11567682,BIC,250174000000,3.63972659
42.35868557,-71.10525329,BIC,250174000000,1.111084741
42.38472335,-71.09668735,BIC,250174000000,2.887391706
42.38019094,-71.11643147,BIC,250174000000,3.328948646
42.38432677,-71.12563059,BIC,250174000000,4.592204212
42.35891238,-71.11433727,BIC,250174000000,2.184564232
42.37142365,-71.0885426,BIC,250174000000,1.252834916
42.36979066,-71.10803739,BIC,250174000000,1.972831371
42.41028839,-71.12791105,BIC,250174000000,6.596815171
42.36695015,-71.09696379,BIC,250174000000,0.939858405
42.37245264,-71.10333381,BIC,250174000000,1.945152459
42.36202616,-71.10415368,BIC,250174000000,1.111084741
42.41100745,-71.15737062,BIC,250174000000,9.285993598
42.42789218,-71.17493414,BIC,250174000000,12.06700361
42.38896453,-71.09952838,BIC,250174000000,3.286159004
42.5174574,-71.31306515,BIC,250174000000,34.25977797
42.39152415,-71.12175181,BIC,250174000000,4.595530081
42.39852115,-71.1229109,BIC,250174000000,5.368073221
42.39941065,-71.11014967,BIC,250173000000,4.716195376
42.36824275,-71.11154861,BIC,250174000000,2.171007549
42.38505079,-71.09935253,BIC,250174000000,2.887391706
42.41240157,-71.15482943,BIC,250174000000,9.285993598
42.36940834,-71.08180391,BIC,250174000000,2.122896038
42.37415923,-71.11098589,BIC,250174000000,2.577168453
42.37098786,-71.10289426,BIC,250174000000,1.600790279
42.37384653,-71.10096846,BIC,250174000000,1.753866844
42.44426216,-71.13484025,BIC,250173000000,10.73752085
42.36632219,-71.10883203,BIC,250174000000,1.777105695
42.37473322,-71.0970169,BIC,250174000000,1.951205715
42.37872845,-71.10180122,BIC,250174000000,2.371040442
42.36984463,-71.09422314,BIC,250174000000,1.263809294
42.36864237,-71.10932912,BIC,250174000000,1.972831371
42.36582325,-71.10334346,BIC,250174000000,1.200777879
42.37115609,-71.10428557,BIC,250174000000,1.945152459
42.39153732,-71.17477656,BIC,250174000000,9.83515255
42.37192646,-71.0887753,BIC,250174000000,1.252834916
42.4531455,-71.06670518,BIC,250173000000,11.21397162
42.35933375,-71.10905506,BIC,250174000000,1.763787053
42.35291282,-71.10796235,BIC,250174000000,0.761364729
42.3682372,-71.09840355,BIC,250174000000,0.939858405
42.35976673,-71.10417778,BIC,250174000000,1.111084741
42.35444671,-71.10331933,BIC,250174000000,0.761364729
42.36156401,-71.1057653,BIC,250174000000,1.111084741
42.36390977,-71.10956982,BIC,250174000000,2.164119761
42.35406324,-71.09572996,BIC,250174000000,0.761364729
42.3682212,-71.11283417,BIC,250174000000,2.171007549
42.36129329,-71.10185048,BIC,250174000000,1.111084741
42.36251387,-71.08308046,BIC,250174000000,0.68143223
42.3530465,-71.10311626,BIC,250174000000,0.761364729
42.37198274,-71.10880126,BIC,250174000000,1.985755147
42.3578289,-71.10284071,BIC,250174000000,1.111084741
42.38598511,-71.11371999,BIC,250174000000,3.881167014
42.39275871,-71.09732786,BIC,250174000000,3.764351799
42.35985817,-71.10318,BIC,250174000000,1.111084741
42.37069597,-71.10000196,BIC,250174000000,1.404455171
42.36450154,-71.10701041,BIC,250174000000,2.164119761
42.35798659,-71.10213405,BIC,250174000000,1.111084741
42.35662247,-71.10753537,BIC,250174000000,1.716018229
42.37257935,-71.09051294,BIC,250174000000,1.609403317
42.35785067,-71.10455437,BIC,250174000000,1.292386981
42.37938543,-71.14705704,BIC,250174000000,6.10236437
42.35441114,-71.10093117,BIC,250174000000,0.761364729
42.39672827,-71.11614876,BIC,250174000000,5.028567653
42.36201507,-71.09308075,BIC,250174000000,0.570497567
42.35715099,-71.10030856,BIC,250174000000,0.761364729
42.35561707,-71.09787922,BIC,250174000000,0.364101878
42.37085232,-71.09030844,BIC,250174000000,1.252834916
42.37212389,-71.09039171,BIC,250174000000,1.263809294
